sample-id,bio_or_control,category_broad,category_specific,bird_id,shannon_500_16s,chao_500_16s,RPCA_pc1_500_16S,RPCA_pc2_500_16S,shannon_500_its,chao_500_its,RPCA_pc1_500_its,RPCA_pc2_500_its
PM01,biological,mites,mites,Ja,2.33498086315209,29,-0.163441128323636,0.007788170054634,4.36286459256805,25,-0.03573676354152,0.12883389249999
PF01,biological,feather,feather,Ja,6.16746613402166,137,-0.046280935728166,-0.027112280618378,5.19929405045175,85,-0.043663072550095,-0.05609560126403
PM02,biological,mites,mites,Swamp Roach,2.44187057943394,21,-0.101687591833881,-0.046048764390933,3.24191404906288,11,-0.048792798488702,0.126343243652393
PF02,biological,feather,feather,Swamp Roach,2.15753048133758,190.25,0.215671194843151,-0.293071737954686,5.6249373247877,161,-0.051557825194874,-0.130673536398249
PM03,biological,mites,mites,Jaren,4.22505084839531,34,-0.071164037262458,0.000992234907953,na,na,na,na
PF03,biological,feather,feather,Jaren,6.78692372734069,235.5,0.181880798960874,-0.402848622244724,na,na,na,na
PM04,biological,mites,mites,Club Sandwich,7.63362118308087,251.5,-0.006216075872939,-0.044634505401771,na,na,na,na
PF04,biological,feather,feather,Club Sandwich,na,na,na,na,5.57411976469547,139,-0.034167134348969,-0.106197001267309
PM05,biological,mites,mites,Jonas,na,na,na,na,2.90936650763398,18,-0.076423359464358,0.125359090120722
PF05,biological,feather,feather,Jonas,na,na,na,na,5.49695827636055,242,0.084256258857888,-0.187969705769346
PM06,biological,mites,mites,Flatten the Curve,na,na,na,na,na,na,na,na
PF06,biological,feather,feather,Flatten the Curve,5.25806791720315,69,0.100982986564036,-0.056740406782422,5.40632984529529,97,-0.038202861189701,0.054725336427024
PM07,biological,mites,mites,Loretta,3.31993466030456,24,-0.077048728368287,0.015681461280101,3.61740777202449,15,-0.051259096634572,0.135242819147675
PF07,biological,feather,feather,Loretta,5.41244967999943,157,0.250239922179885,0.168684187938278,6.23230064621226,157,0.02142880065215,-0.021739905383877
WASH01,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na
WASH03,control,control,wash_control,wash_control,na,na,na,na,na,na,na,na
KITA01,control,control,kit_control,kit_control,na,na,na,na,na,na,na,na
AKC01,control,control,area_control,area_control,na,na,na,na,na,na,na,na
PM08,biological,mites,mites,Cash,na,na,na,na,na,na,na,na
PF08,biological,feather,feather,Cash,na,na,na,na,4.56281581591205,86,0.036000763648592,0.12498640922847
PM09,biological,mites,mites,Mary Girl,na,na,na,na,na,na,na,na
PF09,biological,feather,feather,Mary Girl,4.93826936600116,44,0.033941725482229,-0.014688237036243,4.43837168562867,98,-0.086648527286531,-0.12591394700081
